v_rid,name,addr,lat,lng,dc_score,status,g_place_id,g_name,g_addr,g_maps_url,g_lat,g_lng,name_sim,dist_m,match_score
vhirfpH7gBFZ,호랭이제작소,부산광역시 수영구 망미번영로55번길 27 1층 호랭이제작소,35.1734066,129.1089862,25,not_found,ChIJAR5A9zGTaDURsUGWSBDHsv0,장소,부산광역시 수영구 망미번영로70번길 26,https://maps.google.com/?cid=18280892710201475505&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,35.1723877,129.1111446,0.0,226.5,0.05
KpxdPUoaggKq,호야다방,경상북도 청송군 진보면 진안동2길 12,36.5292814,129.0456958,25,not_found,ChIJvzrXcZnIZjURERdSYNHlZes,진주다방,경상북도 청송군 진보면 진안리 126-1,https://maps.google.com/?cid=16962216258987759377&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,36.528379699999995,129.0458582,0.2,101.3,0.35
2LD674NXV3RK,홍피낭,전북특별자치도 정읍시 연지시장2길 12 홍피낭,35.5750624,126.8465824,25,not_found,ChIJ0WcmoMKwcTUR5J44phKLybQ,연지시장,전북특별자치도 정읍시 연지동 31-1,https://maps.google.com/?cid=13027096309360271076&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,35.5736348,126.84720229999999,0.0,168.4,0.15
J1ky2NEDXbU0,화정,대전광역시 유성구 구룡달전로 192-7 1층,36.4464158,127.3688381,25,not_found,,,,,,,0,,0
UrJmEXaDrF27,황실 어나더룸,경상남도 창원시 의창구 도계로 93 1층 황실어나더룸 카페,35.2567817,128.6400213,25,not_found,,,,,,,0,,0
ztJMSmGZdyoM,회선,"대구광역시 동구 첨단로8길 15 1층 105, 106호",35.8789082,128.7318314,25,not_found,,,,,,,0,,0
9a1BTAbB7f29,흔치않은,경기도 남양주시 경춘로 1292-31 늘을빌딩,37.6486572,127.238111,25,not_found,,,,,,,0,,0
WFV6hXvR1O4s,PONT,서울특별시 용산구 한강대로15길 19-16 1층,37.5257906,126.9628565,80,maybe,ChIJtVRPjRChfDURav6BDPJqV5U,폰트커피,서울특별시 용산구 한강대로15길 19-16,https://maps.google.com/?cid=10761187422449565290&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.525751,126.96284430000001,0.0,4.5,0.25
6jVI3wb2MgGr,신기커피영도,부산광역시 영도구 와치로 65,35.0868493,129.0602725,79,maybe,ChIJc2SmTxjpaDUREj8PWmzuNlk,Sinkicoffee(구 신기숲),부산광역시 영도구 와치로 65,https://maps.google.com/?cid=6428587667252789010&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,35.086965899999996,129.0601921,0.1,14.9,0.35
EBgpB2eOMBvd,윌로우 우드,경기도 시흥시 서울대학로278번길 19-13 상가 B동 243호,37.3714903,126.7270827,79,maybe,ChIJ0eWtDBRxezURS2e--ISGdeE,willow wood,경기도 시흥시 서울대학로278번길 19-13 써밋플레이스 상가 B동 243호,https://maps.google.com/?cid=16246039136475965259&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.3715385,126.7271255,0.0,6.6,0.25
kgunzJEYVkbb,포스톤즈,서울특별시 종로구 삼청로 103-4 삼청동 수제비 옆 골목,37.5847732,126.9816589,79,maybe,ChIJQTyKUQCjfDURpSvq8q7T3uk,fourstones coffee roasters,서울특별시 종로구 삼청로 103-4,https://maps.google.com/?cid=16852139604020177829&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.584828099999996,126.9816807,0.0,6.4,0.25
sFStWXzuI9x9,스팅프리 커피웍스,부산 동구 중앙대로226번길 7-7 1층,35.1173523,129.0420159,77,maybe,ChIJp4C4dwDraDURWEnSInWqR4Q,Stingfree Coffee Works,부산광역시 동구 초량동 1197-4,https://maps.google.com/?cid=9531774556425046360&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,35.1173585,129.04197489999999,0.0,3.8,0.25
shLF9mcrLmnd,페리아 커피,경기도 남양주시 와부읍 팔당로81번길 88-3 1층,37.5551331,127.238781,77,maybe,ChIJrVXcqOizfDURHNwFjjKcjiU,파레아 팔당,경기도 남양주시 와부읍 팔당로81번길 88-3,https://maps.google.com/?cid=2706272167041293340&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.5550521,127.23877909999997,0.0,9.0,0.25
PXvPuE3FlDNH,FM coffee,부산광역시 부산진구 전포대로199번길 26,35.154595,129.063702,76,maybe,ChIJ-89b5mTraDURFoadptjw-MQ,에프엠 커피,부산광역시 부산진구 전포대로199번길 26,https://maps.google.com/?cid=14193359038957061654&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,35.1546455,129.0637738,0.0,8.6,0.25
xCcc3tKJQ86m,그레이 그리스트밀,서울특별시 강남구 압구정로2길 15,37.5206043,127.0199776,76,maybe,ChIJadKUIMujfDURcIKsn36Ib30,cafe GRAY GRISTMILL,서울특별시 강남구 압구정로2길 15,https://maps.google.com/?cid=9038593054582014576&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.5206993,127.01997499999999,0.0,10.6,0.25
VgQcqNUFaFQl,뮤게트,인천광역시 부평구 부평대로36번길 35 3층 뮤게트,37.494824,126.7248622,76,maybe,ChIJjUXuLlN9ezURwOhb_8rLZ90,모트커피,인천광역시 부평구 부평동 부평대로32번길 22,https://maps.google.com/?cid=15953944277711317184&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.4943442,126.72415570000001,0.0,82.0,0.15
Ee8HMCoFaUyG,바이아커피스토어,전라북도 전주시 완산구 현무1길 21-15 1층 바이아커피스토어,35.8200001,127.1474894,75,maybe,ChIJwQ4ITpsjcDURq0RK-l1tqpc,VIA COFFEE STORE,전북특별자치도 전주시 완산구 현무1길 21-15,https://maps.google.com/?cid=10928667696166487211&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,35.8199961,127.14748859999999,0.0,0.5,0.25
E91VdJQG1tNM,프라이빗 플레이스,서울특별시 광진구 능동로 280 1층 프라이빗 플레이스,37.5548084,127.0785197,75,maybe,ChIJf6MM4NClfDURG5GecIUn9-k,Private Place,서울특별시 광진구 능동로 280 Private Place 1층,https://maps.google.com/?cid=16858987184158314779&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.5548485,127.0784992,0.0,4.8,0.25
WQqMu4tDYBRn,Perception,서울특별시 마포구 어울마당로1길 16 1층,37.5466632,126.9184928,74,maybe,ChIJi7CiGmmZfDUROfKS29Xgl3I,퍼셉션,서울특별시 마포구 합정동 어울마당로1길 16,https://maps.google.com/?cid=8257315650923590201&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.5466607,126.91847399999999,0.0,1.7,0.25
ZBZfjZNB4zvF,사사커피LAB,서울특별시 구로구 경인로 620-1 1층 사사커피랩,37.5063614,126.8848094,74,maybe,ChIJCVUlEACffDURTcEs34aHL5s,사사커피랩에스프레소바,서울특별시 구로구 신도림동 426 30번지 1층,https://maps.google.com/?cid=11182305413123850573&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.5063317,126.88488930000001,0.091,7.8,0.341
rvJ5aORikHau,오로스트커피,서울특별시 강남구 강남대로62길 21,37.4907183,127.0332191,74,maybe,ChIJuU1OK5qhfDURig6J9yJeAec,Oroast Coffee,서울특별시 강남구 역삼동 강남대로62길 21,https://maps.google.com/?cid=16645689202012917386&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.4907083,127.03325249999999,0.0,3.1,0.25
IttURUNEwPiw,펠릿로스터리,"전라북도 전주시 덕진구 용소로 70 1F, PELLET",35.8633576,127.1157931,74,maybe,ChIJIy1CLAA9cDURDINgcrkU2zo,Roastery Pellet,전북특별자치도 전주시 특별자치도 덕진구 용소로 70,https://maps.google.com/?cid=4241006260819886860&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,35.863393099999996,127.11583439999998,0.0,5.4,0.25
UK2lmIKHpo8c,루엔커피로스터스,"인천광역시 연수구 인천타워대로 257 아트포레푸리지오시티C동 2층 213,214호",37.3934537,126.6320581,72,maybe,ChIJaUfXMAB3ezURcwoqG5-bgYY,Ruhen coffee,인천광역시 연수구 송도동 84-2,https://maps.google.com/?cid=9692198980735863411&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.3936533,126.63240250000001,0.0,37.7,0.25
ldqLnjiAGz8f,리밀커피&밀리,서울특별시 마포구 동교로22길 21 1층,37.5546062,126.9186736,72,maybe,ChIJC3dNyEeZfDURyv1h38DIFWs,리밀커피 베이커리 Limil Coffee Bakery,서울특별시 마포구 동교로22길 21,https://maps.google.com/?cid=7716294267276230090&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.554577699999996,126.91871710000001,0.056,5.0,0.306
hGswmaxemVM7,카페 드 비바체,서울특별시 용산구 두텁바위로1길 24-1 1층 2호,37.5456674,126.9737221,72,maybe,ChIJI7ThHQyjfDURxUETFeRjQQk,Cafe de Vivace,서울특별시 용산구 두텁바위로1길 24-1 1층 2호,https://maps.google.com/?cid=666924051084820933&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.5456149,126.97365400000001,0.0,8.4,0.25
yYcHYRQHT13S,커버커피,충청남도 천안시 동남구 신부9길 5 1층 커버커피 로스터스,36.8163247,127.158732,72,maybe,ChIJiR4wBlcnezUR-uNe5OfJsvc,커버 커피,충청남도 천안시 성성6로 7 16 1층 102호,https://maps.google.com/?cid=17848550271028749306&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,36.8405039,127.12080689999999,1.0,4315.4,0.6
9GQ31WYTmqtP,큐큐큐큐,서울특별시 송파구 오금로20길 4 1층 103호,37.5093327,127.1132989,72,maybe,ChIJmXYTRo-lfDUR5kD-PNdWPyI,큐,서울특별시 가락동 81-1번지 202호 삼원빌딩 송파구 서울특별시 KR,https://maps.google.com/?cid=2467786603263574246&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.495368899999995,127.1197538,0.85,1653.8,0.45
sF43DNgN0wsd,크랙로스터스,서울 강서구 마곡중앙로 111 롯데캐슬 르웨스트 102동 141호,37.5634382,126.8259593,72,maybe,ChIJ0RyRYACdfDURIkyc9BqQGJc,Crack Roasters,서울특별시 강서구 마곡중앙로 111 롯데캐슬르웨스트 102동 141호,https://maps.google.com/?cid=10887610544615607330&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.563593399999995,126.82665739999997,0.0,63.9,0.25
sL8BnDuSZoSH,피오커피,경기도 고양시 일산동구 정발산로 43-7 메리트윈 110호,37.6576954,126.773115,72,maybe,ChIJO_wyw0OFfDURq3smfMLpTKQ,도피오커피인일산호수공원점,경기도 고양시 일산동구 장항동 906번지 1층 KR 일부호호수공원매점,https://maps.google.com/?cid=11839094541966015403&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.658391,126.7642233,0.85,786.5,0.85
NkHZGraR3543,Log coffee roasters,서울특별시 구로구 디지털로29길 38 1층 109호 Log coffee roasters,37.4845388,126.8933416,71,maybe,ChIJBWQ77K-ffDURRp_pzqH4f6c,로그커피로스터스,서울특별시 구로구 디지털로29길 38 1층 109호,https://maps.google.com/?cid=12069638900221058886&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.4842519,126.89309189999999,0.0,38.8,0.25
uyM1Pia3QzSx,제이로스터,서울특별시 중구 장충단로 188 1층 103호,37.5615445,127.0064243,71,maybe,ChIJ1UgBcjKjfDURrGDipvuuZo4,J.roaster,서울특별시 중구 장충단로 188,https://maps.google.com/?cid=10261081196870131884&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.561009899999995,127.0066786,0.0,63.5,0.25
0KHGtqzyfKet,챔프스페이스 커피로스터스,대전광역시 유성구 테크노중앙로 123 현대 프리미엄 아울렛 3층 챔프스페이스,36.4241308,127.3977505,71,maybe,ChIJdeOE8XdJZTURmqXVMGbrZgc,챔프스페이스 커피 로스터스,대전광역시 동구 소제동 299-86,https://maps.google.com/?cid=533372430028481946&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,36.3357972,127.43705569999997,1.0,10433.5,0.6
Ji4DhLOj0iAs,커피땅거미,대전광역시 서구 만년로68번길 15-21 1층,36.3667489,127.381428,71,maybe,ChIJ50S_ENFLZTUROoVAP5fBwzo,커피땅거미,대전광역시 서구 만년동 249,https://maps.google.com/?cid=4234440930003813690&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,36.365808699999995,127.3756461,1.0,528.2,1.0
ZdY8ogxh1O6T,코데인커피앙투라지,제주특별자치도 서귀포시 월드컵로 14 103호,33.24855,126.5072547,71,maybe,ChIJa5xG_7ZRDDURhuFCgc3MrG0,코데인커피로스터스 서귀포점,"제주특별자치도 서귀포시 특별자치도, 월드컵로 14 103호",https://maps.google.com/?cid=7902916629137383814&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,33.2483627,126.5070338,0.2,29.3,0.45
R9HRvSdDOEJi,포온즈데이,서울특별시 종로구 김상옥로 59 1층,37.5735929,127.0044639,71,maybe,ChIJS7TZQQCjfDURrScYbWwK214,4ozday Coffee Roasters,서울특별시 종로구 김상옥로 59,https://maps.google.com/?cid=6835068320267904941&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.573617999999996,127.0044684,0.0,2.8,0.25
EmLTtM1ULSSM,플로리안,서울특별시 송파구 송파대로28길 27 송파 성원상떼빌,37.4952609,127.1208404,71,maybe,ChIJjVvnSo-lfDURdcolS5uTyy4,송파성원상떼빌 아파트,서울특별시 송파구 가락동,https://maps.google.com/?cid=3371951041206930037&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.4950134,127.12041269999999,0.0,46.7,0.25
946WtBjj5fTT,피델리티커피,대구광역시 수성구 수성로38길 26 1층,35.8429859,128.6135786,71,maybe,ChIJTfK9uGXjZTURPpQJbjG5uBk,Fidelity Coffee,대구광역시 수성구 수성로38길 26 1층,https://maps.google.com/?cid=1853434868613616702&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,35.843019,128.6136213,0.0,5.3,0.25
fDCpYHukODdt,람다람커피로스터스,경기도 부천시 원미구 장말로343번길 17-2 1층,37.4913709,126.7804473,70,maybe,ChIJ6T-DHUJ9ezUR06i5auuaCeQ,카페다람,경기도 부천시 중동 번지 상가 103호 1027-3 KR,https://maps.google.com/?cid=16431835051336509651&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.5110041,126.76126,0.85,2762.4,0.45
haAwXYcSiNhl,아카시아,서울특별시 노원구 공릉로29길 21 101호,37.622037,127.0781219,70,maybe,ChIJmwMjLQC7fDUR-yyo4BSCc4A,acacia,서울특별시 노원구 공릉로29길 21 101호,https://maps.google.com/?cid=9255884685356575995&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.622014199999995,127.07818520000001,0.0,6.1,0.25
